Neighborhood,Total Area,Redlined Area,Redlined,Yellowlined Area, Yellowlined,Bluelined Area,Bluelined,Greenlined Area,Greenlined,% Unlined,Score',Park Area,Park,Canopy,% Canopy
Albany Park,4974188.1,0,0.00,400667842.00%,0.81,60590845.80%,0.12,0.00%,0.00,7.27%,0.33,115325.44,0.02,24.13,24.13%
Andersonville,890418.972,0,0.00,89041897.20%,1.00,0.00%,0.00,0.00%,0.00,0.00%,0.25,3455.54852,0.00,24.47,24.47%
Archer Heights,5195324.38,534253,0.10,147897732.00%,0.28,0.00%,0.00,0.00%,0.00,61.25%,0.68,97412.6899,0.02,7.6,7.60%
Armour Square,1592447.53,1083609.51,0.68,0.00%,0.00,0.00%,0.00,0.00%,0.00,31.95%,0.32,46586.3322,0.03,8.72,8.72%
Ashburn,12584514.9,7298099.42,0.58,0.00%,0.00,0.00%,0.00,6759050.21%,0.01,41.47%,0.42,252245.158,0.02,16.33,16.33%
Auburn Gresham,9760652.82,2073799.97,0.21,433045712.00%,0.44,150819563.00%,0.15,0.00%,0.00,18.94%,0.38,269846.675,0.03,18.74,18.74%
Austin,15796985.4,0,0.00,1235550230.00%,0.78,0.00%,0.00,0.00%,0.00,21.79%,0.41,754080.791,0.05,20.21,20.21%
Avalon Park,3237791.44,0,0.00,14984029.70%,0.05,192086535.00%,0.59,0.00%,0.00,36.05%,0.67,115741.859,0.04,21.04,21.04%
Avondale,5136603.56,1007916.36,0.20,292360738.00%,0.57,0.00%,0.00,0.00%,0.00,23.46%,0.38,39108.1762,0.01,14.1,14.10%
Belmont Cragin,10135657,1286025.76,0.13,497896702.00%,0.49,195052091.00%,0.19,0.00%,0.00,18.94%,0.41,276020.295,0.03,15.26,15.26%
Beverly,8247705.91,295141.028,0.04,243078455.00%,0.29,240592188.00%,0.29,138427130.00%,0.17,20.99%,0.56,182703.527,0.02,44.15,44.15%
Boystown,312682.994,0,0.00,31268299.40%,1.00,0.00%,0.00,0.00%,0.00,0.00%,0.25,691.158965,0.00,17.15,17.15%
Bridgeport,5415319.05,3018697.44,0.56,0.00%,0.00,0.00%,0.00,0.00%,0.00,44.26%,0.44,180276.739,0.03,9.67,9.67%
Brighton Park,7050567.15,1982683.27,0.28,276823815.00%,0.39,0.00%,0.00,0.00%,0.00,32.62%,0.42,105056.408,0.01,11.63,11.63%
Bucktown,2675627.68,1639862.74,0.61,0.00%,0.00,0.00%,0.00,0.00%,0.00,38.71%,0.39,43000.7708,0.02,13.35,13.35%
Burnside,1578917.22,729843.99,0.46,0.00%,0.00,0.00%,0.00,0.00%,0.00,53.78%,0.54,35614.7994,0.02,21.47,21.47%
Calumet Heights,4535902.58,322952.326,0.07,177714911.00%,0.39,0.00%,0.00,0.00%,0.00,53.70%,0.63,87110.5939,0.02,19.07,19.07%
Chatham,7647580.77,443700.873,0.06,284308216.00%,0.37,272224564.00%,0.36,0.00%,0.00,21.43%,0.49,198966.252,0.03,20.39,20.39%
Chicago Lawn,9130319.48,1197683.41,0.13,597867164.00%,0.65,0.00%,0.00,0.00%,0.00,21.40%,0.38,1279881.4,0.14,18.59,18.59%
Chinatown,987040.822,646512.157,0.66,0.00%,0.00,0.00%,0.00,0.00%,0.00,34.50%,0.34,35232.4319,0.04,7.28,7.28%
Clearing,6609594.66,0,0.00,205172609.00%,0.31,0.00%,0.00,0.00%,0.00,68.96%,0.77,147340.28,0.02,9.15,9.15%
Douglas,4273827.97,3121938.15,0.73,0.00%,0.00,0.00%,0.00,0.00%,0.00,26.95%,0.27,806381.052,0.19,19.42,19.42%
Dunning,9624353.84,0,0.00,633737785.00%,0.66,17312905.30%,0.02,0.00%,0.00,32.35%,0.50,198072.873,0.02,20.59,20.59%
East Side,7732984.35,2202528.85,0.28,116354475.00%,0.15,0.00%,0.00,0.00%,0.00,56.47%,0.60,862037.335,0.11,15.06,15.06%
East Village,654957.594,653356.196,1.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.24%,0.00,6782.18097,0.01,14.3,14.30%
Edgewater,3610632.7,0,0.00,310401603.00%,0.86,17584153.70%,0.05,,0.00,9.16%,0.33,331784.726,0.09,18.89,18.89%
Edison Park,2939133.49,0,0.00,0.00%,0.00,293913349.00%,1.00,0.00%,0.00,0.00%,0.50,86692.5758,0.03,28,28.00%
Englewood,16127571,11465436.6,0.71,360789127.00%,0.22,0.00%,0.00,0.00%,0.00,6.54%,0.12,538268.032,0.03,24.48,24.48%
Fuller Park,1850267.29,1228274.05,0.66,0.00%,0.00,0.00%,0.00,0.00%,0.00,33.62%,0.34,49049.9657,0.03,10.9,10.90%
Gage Park,5693466.05,413723.446,0.07,384274720.00%,0.67,0.00%,0.00,0.00%,0.00,25.24%,0.42,176397.191,0.03,14.16,14.16%
Galewood,2718122.55,0,0.00,93560415.20%,0.34,133016139.00%,0.49,0.00%,0.00,16.64%,0.50,89018.0717,0.03,22.52,22.52%
Garfield Park,8358958.01,3275293.13,0.39,426104713.00%,0.51,0.00%,0.00,0.00%,0.00,9.84%,0.23,761064.13,0.09,17.56,17.56%
Garfield Ridge,10952401.7,428812.069,0.04,321101829.00%,0.29,0.00%,0.00,0.00%,0.00,66.77%,0.74,202192.32,0.02,13.21,13.21%
