Neighborhood,Total Area,"Average Housing Cost
Median Sales Price 2021","Housing Energy Usage
Electricity Usage KWH/SQFT",% Owner Occupied,% Single Family,Sales per 100 residential parcels (AVG 2005-2021),% Cost Burdened (owner + renter)
Albany Park,4974188.1,"$495,000",16294.87083,40.3,19.2,5.5,39.3
Andersonville,890418.972,,N/A,N/A,N/A,N/A,N/A
Archer Heights,5195324.38,,20489.03412,62.8,42.9,3.9,37.8
Armour Square,1592447.53,,25015.03285,34.4,15.8,3.2,40.9
Ashburn,12584514.9,,20145.45023,83.7,86.8,4.2,33.8
Auburn Gresham,9760652.82,"$145,000",15176.97936,44.6,40.6,4.8,47.7
Austin,15796985.4,"$282,000",18483.56736,41.3,25.1,4.7,56.1
Avalon Park,3237791.44,,15436.47447,64.2,70.6,4.3,48.6
Avondale,5136603.56,"$629,500",16197.71355,41.2,15,5.6,38.9
Belmont Cragin,10135657,"$282,000",14638.35662,51.3,36,4.7,48
Beverly,8247705.91,"$250,000",23356.44563,82.8,76,3.7,23.8
Boystown,312682.994,,N/A,N/A,N/A,N/A,N/A
Bridgeport,5415319.05,"$305,250",16708.84385,47.3,27.7,4.1,40.3
Brighton Park,7050567.15,"$305,250",15669.25131,47.1,24.6,3.7,46.8
Bucktown,2675627.68,,N/A,N/A,N/A,N/A,N/A
Burnside,1578917.22,,17402.8,48.8,70.2,5.5,52.2
Calumet Heights,4535902.58,,15050.50615,71.2,73.5,3.4,42.1
Chatham,7647580.77,"$145,000",17510.8041,38.8,31.5,4.7,48.1
Chicago Lawn,9130319.48,,12042.86953,43.3,40.5,5.3,53.6
Chinatown,987040.822,,N/A,N/A,N/A,N/A,N/A
Clearing,6609594.66,,18712.63742,67.9,60.5,4.5,33.2
Douglas,4273827.97,,48197.59218,17.3,6.4,3.7,50.9
Dunning,9624353.84,,17823.47113,77.3,65.4,4.4,31.9
East Side,7732984.35,,12885.86294,66.8,64.6,3.1,38.5
East Village,654957.594,,N/A,N/A,N/A,N/A,N/A
Edgewater,3610632.7,,46046.93046,37.1,5.2,5.9,40.5
Edison Park,2939133.49,,18749.92308,79.9,61.6,4.3,23.4
Englewood,16127571,"$120,000",12779.62651,23.8,18.8,7,58.6
Fuller Park,1850267.29,,12750.28226,22.7,30.7,5.8,56.9
Gage Park,5693466.05,"$268,500",14265.60513,54.7,46.1,3.7,45
Galewood,2718122.55,,N/A,N/A,N/A,N/A,N/A
Garfield Park,8358958.01,"$210,000",N/A,22.5,9.6,6.1,60.2
Garfield Ridge,10952401.7,,15766.84262,82.8,80.4,4,27.5
Gold Coast,665695.318,,N/A,N/A,N/A,N/A,N/A
Grand Boulevard,4504950.94,,18386.25285,26.2,7.5,7.4,49.2
Grand Crossing,9183448.72,"$120,000",13063.32784,31.3,23.2,5.8,56
Grant Park,833757.903,,N/A,N/A,N/A,N/A,N/A
Greektown,153346.006,,N/A,N/A,N/A,N/A,N/A
Hegewisch,13559956,,12238.35168,73.3,68.3,3.4,32.4
Hermosa,3028809.24,,15269.63291,47,27.3,4.5,47.8
Humboldt Park,11613722.9,"$210,000",16377.57798,37.5,18.6,5.6,51.9
Hyde Park,3609992.49,"$310,000",43541.86408,35.9,8.4,4.9,43.6
Irving Park,8325092.64,"$495,000",15833.01481,48.9,24,5.7,36.6
Jackson Park,2187369.56,,N/A,N/A,N/A,N/A,N/A
Jefferson Park,6026450.82,"$352,000",16382.03616,65.7,47.7,4.4,35.6
Kenwood,2700748.78,,59161.97447,34.6,13,5.4,45.5
Lake View,7425278.71,"$1,261,000",35483.42541,38.2,5.2,7.5,30.4
Lincoln Park,6261640.8,"$1,261,000",32322.0082,44.7,11.3,7.1,28.9
Lincoln Square,6628736.58,"$690,000",16754.32314,39.4,12.2,6.3,34.5
"Little Italy, UIC",6630927.7,,N/A,N/A,N/A,N/A,N/A
Little Village,11891294.5,,N/A,N/A,N/A,N/A,N/A
Logan Square,6619889.99,"$629,500",14954.55858,38,12.8,7,33.7
Loop,2924978.98,,1154623.226,35.5,0,5.6,35.4
Lower West Side,7576146.77,,19432.81695,30.8,7.3,3.8,39
Magnificent Mile,81975.5285,,N/A,N/A,N/A,N/A,N/A
Mckinley Park,3663258.99,,15189.43902,58.7,32.1,3.9,44.4
Millenium Park,257818.772,,N/A,N/A,N/A,N/A,N/A
Montclare,2558130.76,,15149.90571,66.1,51.7,4.8,47.1
Morgan Park,8535499.69,"$250,000",18288.90625,71.7,77.5,3.9,34.2
Mount Greenwood,7021926.57,,23247.73098,85.8,86.4,3.7,19.4
Museum Campus,1441533.37,,N/A,N/A,N/A,N/A,N/A
Near South Side,3182068.12,,346281.1207,55.3,5.8,5.6,32.2
New City,12507888.2,,16270.09394,36.2,20.2,5.3,44.8
North Center,5300411.83,"$690,000",16358.57118,59,21.5,7.9,25.1
North Lawndale,8313564.07,,17661.37174,24.6,9.3,6.1,60
North Park,6529974.55,,23927.26824,49,39.4,4.1,40.1
Norwood Park,11839111.4,,19066.01754,74.5,71.8,4,29
O'Hare,34379626.1,,106502.4032,39.8,12.4,3.7,43.3
Oakland,1571300.48,,22757.39252,19.1,10,5.3,46.4
Old Town,1843888.19,,N/A,N/A,N/A,N/A,36.2
Portage Park,10237539.1,"$352,000",15386.94493,60.6,40.8,4.6,37.1
Printers Row,200863.076,,N/A,N/A,N/A,N/A,N/A
Pullman,5481213.2,,37305.85561,43.5,64.5,4.1,37.1
River North,3601421.42,,N/A,N/A,N/A,N/A,N/A
Riverdale,9140341.32,,85493.47826,7.1,82.9,3.1,42.9
Rogers Park,4762102.66,"$675,000",25063.95896,24.5,5.1,5.9,48.4
Roseland,12477749.1,,11945.14384,53,63.1,4.3,46
Rush & Division,324182.357,,N/A,N/A,N/A,N/A,N/A
"Sauganash,Forest Glen",8280512.72,,22506.38641,90.5,84.8,3.8,24.7
Sheffield & DePaul,973840.807,,N/A,N/A,N/A,N/A,N/A
South Chicago,8664832.51,"$131,000",13393.70867,38.9,30.3,5,46.4
South Deering,28222380.2,,24817.34949,52.8,80.7,3.2,44.4
South Shore,7600309.74,,24347.06908,21,12.5,5.5,52.7
Streeterville,1662382.65,,N/A,N/A,N/A,N/A,N/A
Ukrainian Village,986834.487,,N/A,N/A,N/A,N/A,N/A
United Center,3021197.43,,N/A,N/A,N/A,N/A,N/A
Uptown,6047438.36,"$675,000",43852.17167,31.6,2.8,6.7,40.8
Washington Heights,7398210.27,,14393.33638,67.7,72.3,4.3,41
Washington Park,3936531.17,,18691.35366,12.9,2.7,7.7,62.2
West Elsdon,3038931.23,,14506.41053,73.9,70.5,3.9,32.7
West Lawn,7647273.78,"$268,500",N/A,71.1,70.5,5.8,40.4
West Loop,4918630.46,,N/A,N/A,N/A,N/A,N/A
West Pullman,9231057.7,"$131,000",10081.13541,63.7,70.8,4.4,43.5
West Ridge,9144223.59,,22241.92994,47.6,21.5,5.2,45.3
West Town,5435425.46,"$737,500",17202.36061,40,8.6,8,29.1
Wicker Park,2494696.71,,N/A,N/A,N/A,N/A,N/A
Woodlawn,3763894.65,,19620.78157,24.1,7,7,56.9
Wrigleyville,677047.047,,N/A,N/A,N/A,N/A,N/A
